schema,object_type,object_name,domain,rows,total_bytes,rls_enabled,force_rls,policy_count,anon_privileges,authenticated_privileges,service_role_privileges,code_references,migration_origin,status,risk,recommended_action
public,table,business_membership_applied_templates,business,-1,16384,true,true,1,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:94,active_canonical,low,retain
public,table,business_membership_permission_denials,business,-1,32768,true,true,1,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727030000_stage2h_permission_denials.sql:2,active_canonical,low,retain
public,table,business_membership_permission_grants,business,707,360448,true,true,1,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:82,active_canonical,low,retain
public,table,business_memberships,business,10827,4096000,true,true,3,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:62,active_canonical,low,retain
public,table,business_module_states,business,108443,31358976,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:137,active_canonical,low,retain
public,table,business_profiles,business,9614,2605056,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713100000_stage2_business_presence.sql:31,active_canonical,low,retain
public,table,businesses,business,9570,11706368,true,true,4,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:20,active_canonical,low,retain
public,table,commercial_entitlements,commercial,97140,32137216,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:104,active_canonical,low,retain
public,table,consumer_activity_projections,identity,108,155648,true,true,3,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260730000000_stage5_workforce_booking_providers.sql:179,active_canonical,low,retain
public,table,consumer_profiles,identity,12502,4390912,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713000000_stage1d_identity_canonical.sql:16,active_canonical,low,retain
public,table,customer_relationships_contacts,crm,718,909312,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727050000_stage4_customer_relationships_kernel.sql:3,active_canonical,low,retain
public,table,customer_relationships_notes,crm,-1,49152,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727050000_stage4_customer_relationships_kernel.sql:40,active_canonical,low,retain
public,table,customer_relationships_timeline_entries,crm,1520,868352,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727050000_stage4_customer_relationships_kernel.sql:55,active_canonical,low,retain
public,table,fulfilment_jobs,fulfilment,185,253952,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260729000000_stage4_fulfilment_commerce.sql:38,active_canonical,low,retain
public,table,fulfilment_settings,fulfilment,306,98304,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260729000000_stage4_fulfilment_commerce.sql:4,active_canonical,low,retain
public,table,fulfilment_zones,fulfilment,169,90112,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260729000000_stage4_fulfilment_commerce.sql:13,active_canonical,low,retain
public,table,idempotency_records,platform,-1,24576,false,true,0,,,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,Documentations/12; migration only,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:242,canonical_dormant,medium,retain; browser grants revoked 2026-09-23
public,table,inventory_movements,inventory,848,745472,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727060000_stage5_inventory_offerings_kernel.sql:115,active_canonical,low,retain
public,table,inventory_records,inventory,461,417792,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727060000_stage5_inventory_offerings_kernel.sql:90,active_canonical,low,retain
public,table,leads_lead_notes,leads,-1,49152,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260731000000_stage6_leads_memberships_kernel.sql:66,active_canonical,low,retain
public,table,leads_lead_status_history,leads,429,221184,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260731000000_stage6_leads_memberships_kernel.sql:53,active_canonical,low,retain
public,table,leads_leads,leads,233,237568,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260731000000_stage6_leads_memberships_kernel.sql:11,active_canonical,low,retain
public,table,marketplace_business_projections,marketplace,292,491520,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260728000000_stage3_marketplace_discovery.sql:4,active_canonical,low,retain
public,table,marketplace_index_health,marketplace,3214,1163264,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260728000000_stage3_marketplace_discovery.sql:99,active_canonical,low,retain
public,table,marketplace_offering_projections,marketplace,50,204800,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260728000000_stage3_marketplace_discovery.sql:36,active_canonical,low,retain
public,table,media_assets,media,227,196608,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713100000_stage2_business_presence.sql:9,active_canonical,low,retain
public,table,memberships_enrolment_status_history,memberships,169,114688,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260731000000_stage6_leads_memberships_kernel.sql:176,active_canonical,low,retain
public,table,memberships_enrolments,memberships,113,180224,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260731000000_stage6_leads_memberships_kernel.sql:133,active_canonical,low,retain
public,table,memberships_plan_offering_access,memberships,51,90112,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260731000000_stage6_leads_memberships_kernel.sql:121,active_canonical,low,retain
public,table,memberships_plans,memberships,181,131072,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260731000000_stage6_leads_memberships_kernel.sql:86,active_canonical,low,retain
public,table,module_definitions,modules,-1,32768,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:126,active_canonical,low,retain
public,table,offerings_catalog_categories,offerings,-1,65536,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727060000_stage5_inventory_offerings_kernel.sql:4,active_canonical,low,retain
public,table,offerings_catalog_offerings,offerings,1780,1064960,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727060000_stage5_inventory_offerings_kernel.sql:25,active_canonical,low,retain
public,table,offerings_catalog_variants,offerings,-1,32768,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727060000_stage5_inventory_offerings_kernel.sql:67,active_canonical,low,retain
public,table,orders_order_line_items,orders,741,499712,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727070000_stage6_orders_kernel.sql:45,active_canonical,low,retain
public,table,orders_order_notes,orders,-1,49152,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727070000_stage6_orders_kernel.sql:81,active_canonical,low,retain
public,table,orders_order_status_history,orders,832,491520,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727070000_stage6_orders_kernel.sql:68,active_canonical,low,retain
public,table,orders_orders,orders,725,598016,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727070000_stage6_orders_kernel.sql:4,active_canonical,low,retain
public,table,payments_merchant_connections,payments,109,114688,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727090000_stage9_payments_kernel.sql:4,active_canonical,low,retain
public,table,payments_payment_attempts,payments,417,507904,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727090000_stage9_payments_kernel.sql:18,active_canonical,low,retain
public,table,payments_refunds,payments,-1,49152,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727090000_stage9_payments_kernel.sql:54,active_canonical,low,retain
public,table,payments_webhook_receipts,payments,17,98304,true,true,1,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727090000_stage9_payments_kernel.sql:71,active_canonical,low,retain
public,table,platform_admin_grants,platform,318,172032,true,true,1,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713000000_stage1d_identity_canonical.sql:24,active_canonical,low,retain
public,table,platform_async_jobs,platform,12350,5931008,false,true,0,,,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,apps/worker/src; python/core/platform_core/services,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:183,active_server_infrastructure,medium,retain; browser grants revoked 2026-09-23
public,table,platform_audit_events,platform,79415,40386560,false,true,0,,,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:255,active_canonical,medium,retain; browser grants revoked 2026-09-23
public,table,platform_dead_letter_events,platform,172,98304,false,true,0,,,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,apps/worker/src; python/core/platform_core/services,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:228,active_server_infrastructure,medium,retain; browser grants revoked 2026-09-23
public,table,platform_event_deliveries,platform,3980,1581056,false,false,0,,,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260917020000_event_subscription_registry.sql:23,active_canonical,medium,retain; browser grants revoked 2026-09-23
public,table,platform_identities,platform,11584,3645440,true,true,3,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713000000_stage1d_identity_canonical.sql:4,active_canonical,low,retain
public,table,platform_notification_preferences,platform,26,65536,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260801000000_stage7_core_notifications.sql:63,active_canonical,low,retain
public,table,platform_notifications,platform,3194,4603904,true,true,4,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260801000000_stage7_core_notifications.sql:12,active_canonical,low,retain
public,table,platform_outbox_events,platform,68601,41762816,false,true,0,,,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:160,active_canonical,medium,retain; browser grants revoked 2026-09-23
public,table,platform_processed_events,platform,11459,3293184,false,true,0,,,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,apps/worker/src; python/core/platform_core/services,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:220,active_server_infrastructure,medium,retain; browser grants revoked 2026-09-23
public,table,platform_scheduled_jobs,platform,26,49152,false,true,0,,,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,apps/worker/src; python/core/platform_core/services,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:205,active_server_infrastructure,medium,retain; browser grants revoked 2026-09-23
public,table,projects_phases,projects,854,434176,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260920020000_projects_and_work_orders.sql:95,active_canonical,low,retain
public,table,projects_projects,projects,255,253952,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260920020000_projects_and_work_orders.sql:29,active_canonical,low,retain
public,table,projects_tasks,projects,117,114688,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260920020000_projects_and_work_orders.sql:120,active_canonical,low,retain
